# Chunk-averaged data for fix profile and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
5000 40 5000
  14 26.2344 123.408 0.980999
  15 27.3881 126.431 0.962071
  16 28.5417 125.445 0.990337
  17 29.6954 124.968 0.980704
  18 30.849 126.759 0.933246
  19 32.0027 127.613 0.928017
  20 33.1564 127.579 0.958287
  21 34.31 123.26 0.971345
  22 35.4637 126.201 0.96908
  23 36.6173 125.197 0.942664
  24 37.771 126.598 0.95194
  25 38.9247 126.055 0.956381
  26 40.0783 126.526 0.951872
  27 41.232 125.592 0.97309
  28 42.3856 126.071 0.948609
  29 43.5393 125.126 1.02087
  30 44.693 123.691 1.01238
  31 45.8466 122.902 1.02655
  32 47.0003 128.078 0.947815
  33 48.1539 123.643 0.972138
  34 49.3076 121.119 0.981413
  35 50.4612 125.986 0.966391
  36 51.6149 126.013 0.960052
  37 52.7686 125.982 0.970754
  38 53.9222 122.791 1.03085
