# Time-averaged data for fix thermo_ave
# TimeStep v_T v_p v_rho v_Etot v_Ekin v_Epot
6780 1.07789 0.400129 0.726 -3.41146 1.61651 -5.02797
6800 1.06945 0.43591 0.726 -3.41444 1.60386 -5.0183
6820 1.06536 0.455391 0.726 -3.4158 1.59772 -5.01352
6840 1.06509 0.46035 0.726 -3.41538 1.59732 -5.0127
6860 1.06908 0.449955 0.726 -3.41338 1.6033 -5.01668
6880 1.07499 0.437151 0.726 -3.41037 1.61216 -5.02253
6900 1.0698 0.477802 0.726 -3.40688 1.60438 -5.01126
6920 1.06162 0.535356 0.726 -3.40247 1.59212 -4.99459
6940 1.06481 0.544843 0.726 -3.39646 1.59689 -4.99335
6960 1.07181 0.534985 0.726 -3.38941 1.60739 -4.99681
6980 1.07525 0.534288 0.726 -3.38261 1.61255 -4.99516
7000 1.0881 0.488361 0.726 -3.377 1.63182 -5.00882
7020 1.09697 0.45536 0.726 -3.3738 1.64513 -5.01893
7040 1.09247 0.478329 0.726 -3.37319 1.63838 -5.01158
7060 1.08379 0.518148 0.726 -3.37399 1.62536 -4.99935
7080 1.08545 0.509837 0.726 -3.37506 1.62785 -5.00292
7100 1.09171 0.476334 0.726 -3.37655 1.63723 -5.01378
7120 1.08884 0.478039 0.726 -3.37899 1.63294 -5.01193
7140 1.08507 0.482263 0.726 -3.38212 1.62727 -5.0094
7160 1.08455 0.46856 0.726 -3.38554 1.62649 -5.01203
7180 1.08693 0.438687 0.726 -3.38931 1.63007 -5.01939
7200 1.08137 0.439209 0.726 -3.3936 1.62173 -5.01533
7220 1.08074 0.418706 0.726 -3.39795 1.62078 -5.01872
7240 1.08003 0.402878 0.726 -3.40228 1.61972 -5.02201
7260 1.07087 0.4317 0.726 -3.40646 1.60598 -5.01244
7280 1.0596 0.476657 0.726 -3.40948 1.58908 -4.99856
7300 1.05771 0.484449 0.726 -3.41022 1.58624 -4.99646
7320 1.06994 0.435592 0.726 -3.40843 1.60459 -5.01302
7340 1.07936 0.405082 0.726 -3.40496 1.61872 -5.02368
7360 1.0842 0.403684 0.726 -3.40051 1.62598 -5.02649
7380 1.08436 0.429359 0.726 -3.3951 1.62621 -5.02132
7400 1.0871 0.449317 0.726 -3.38809 1.63033 -5.01842
7420 1.0918 0.46662 0.726 -3.37901 1.63737 -5.01638
7440 1.09385 0.501791 0.726 -3.36827 1.64044 -5.00871
7460 1.09569 0.53981 0.726 -3.35713 1.6432 -5.00033
7480 1.10212 0.551817 0.726 -3.34728 1.65284 -5.00013
7500 1.10581 0.563052 0.726 -3.34035 1.65839 -4.99874
7520 1.10137 0.595872 0.726 -3.33683 1.65172 -4.98855
7540 1.09612 0.621024 0.726 -3.33606 1.64385 -4.97992
7560 1.0941 0.621342 0.726 -3.3373 1.64082 -4.97812
7580 1.09746 0.587325 0.726 -3.34034 1.64587 -4.9862
7600 1.09933 0.548996 0.726 -3.34571 1.64866 -4.99438
7620 1.09619 0.524724 0.726 -3.35375 1.64395 -4.9977
7640 1.08926 0.515006 0.726 -3.36382 1.63357 -4.99738
7660 1.08169 0.514252 0.726 -3.37398 1.62221 -4.99619
7680 1.07457 0.523856 0.726 -3.38202 1.61154 -4.99356
7700 1.07074 0.530309 0.726 -3.38681 1.60579 -4.99261
7720 1.0748 0.508455 0.726 -3.38895 1.61188 -5.00083
7740 1.07864 0.488102 0.726 -3.38982 1.61764 -5.00746
7760 1.08251 0.46746 0.726 -3.3903 1.62344 -5.01374
7780 1.08288 0.463058 0.726 -3.39093 1.624 -5.01493
7800 1.07466 0.495923 0.726 -3.39169 1.61167 -5.00336
7820 1.0712 0.507038 0.726 -3.39182 1.60648 -4.9983
7840 1.077 0.476309 0.726 -3.39102 1.61518 -5.0062
